%  - Subwijken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oog in Al, Welgelegen;Lombok, Leidseweg;Nieuw Engeland, Schepenbrt;Pijlsweerd;Ondiep, 2e Daalsebrt;Zuilen-west;Zuilen-noord en -oost;Taagdreef, Wolgadreef;Zamenhofdreef, Neckardreef;Vechtzoom, Klopvaart;Zambesidreef, Tigrisdreef;Votulast;Tuindorp, Voordorp;Wittevrouwen, Zeeheldenbrt;Oudwijk, Buiten Wittevrouwen;Abstede, Gansstraat;Wilhelminapark, Rijnsweerd;Binnenstad city- en winkelgeb;Binnenstad woongebied;Lunetten;Oud Hoograven, Tolsteeg;Nieuw Hoograven, Bokkenbrt;Dichterswijk, Rivierenwijk;Transwijk;Kanaleneiland;Terwijde, De Wetering;Het Zand;Leidsche Rijn Centrum e.o;Parkwijk, Langerak;Leidsche Rijn-zuid;Vleuten, Haarzuilens;Veldhuizen, Vleuterweide;De Meern;Rijnenburg;onbekend
% voelt zich vaak onveilig algemeen [2025];3%;10%;2%;6%;4%;8%;9%;11%;7%;12%;12%;2%;3%;2%;2%;5%;4%;12%;9%;7%;2%;8%;6%;7%;11%;6%;5%;5%;6%;.;5%;5%;5%;.;
% voelt zich wel eens onveilig in eigen buurt [2006];34%;31%;35%;40%;42%;27%;34%;48%;59%;42%;50%;23%;20%;10%;14%;30%;16%;40%;28%;34%;29%;41%;29%;43%;60%;17%;.;-;16%;-;13%;13%;22%;-;-
% voelt zich wel eens onveilig in eigen buurt [2007];30%;32%;31%;35%;40%;35%;47%;40%;50%;40%;53%;26%;23%;12%;17%;27%;20%;34%;30%;31%;24%;39%;24%;44%;51%;13%;.;-;19%;-;17%;16%;20%;-;-
% voelt zich wel eens onveilig in eigen buurt [2008];31%;35%;32%;46%;36%;39%;55%;45%;51%;45%;47%;31%;20%;19%;20%;29%;20%;31%;31%;41%;29%;39%;35%;45%;50%;27%;29%;.;26%;.;17%;20%;18%;.;-
% voelt zich wel eens onveilig in eigen buurt [2009];34%;37%;36%;45%;42%;40%;53%;54%;49%;49%;55%;35%;23%;21%;22%;34%;21%;43%;32%;37%;25%;47%;33%;46%;61%;24%;15%;.;30%;.;19%;21%;26%;.;-
% voelt zich wel eens onveilig in eigen buurt [2010];36%;28%;45%;40%;37%;32%;42%;45%;41%;44%;40%;30%;20%;17%;12%;19%;21%;26%;24%;32%;22%;36%;25%;42%;41%;31%;15%;.;20%;.;16%;15%;16%;.;.
% voelt zich wel eens onveilig in eigen buurt [2011];29%;33%;29%;33%;33%;23%;39%;40%;38%;45%;40%;24%;16%;13%;18%;21%;18%;35%;30%;34%;21%;41%;18%;42%;51%;34%;18%;.;24%;.;14%;16%;16%;.;-
% voelt zich wel eens onveilig in eigen buurt [2013];35%;45%;37%;35%;37%;32%;42%;43%;40%;45%;46%;33%;21%;14%;19%;23%;21%;37%;27%;37%;23%;38%;30%;44%;52%;34%;19%;.;31%;.;19%;18%;19%;.;-
% voelt zich wel eens onveilig in eigen buurt [2015];29%;46%;38%;41%;39%;34%;41%;54%;46%;44%;54%;26%;22%;19%;18%;24%;23%;33%;26%;38%;26%;39%;26%;45%;42%;29%;19%;.;27%;.;24%;23%;19%;.;
% voelt zich wel eens onveilig in eigen buurt [2017];23%;42%;33%;38%;35%;33%;40%;55%;44%;41%;50%;23%;21%;18%;22%;22%;15%;28%;27%;41%;31%;44%;27%;40%;48%;18%;17%;.;24%;.;19%;22%;21%;.;
% voelt zich wel eens onveilig in eigen buurt [2019];28%;49%;27%;34%;36%;33%;35%;50%;41%;44%;49%;17%;17%;21%;16%;22%;23%;34%;31%;46%;26%;34%;25%;46%;47%;29%;18%;28%;23%;.;19%;22%;24%;.;.
% voelt zich wel eens onveilig in eigen buurt [2021];25%;45%;29%;26%;35%;27%;37%;48%;38%;44%;44%;23%;18%;22%;20%;21%;24%;37%;31%;45%;30%;38%;27%;38%;47%;24%;23%;29%;29%;.;15%;23%;24%;.;.
% voelt zich wel eens onveilig in eigen buurt [2023];28%;45%;41%;36%;40%;28%;42%;50%;47%;42%;48%;22%;23%;18%;27%;25%;20%;44%;36%;49%;32%;43%;36%;43%;51%;29%;31%;34%;23%;.;24%;28%;25%;.;
% voelt zich wel eens onveilig in eigen buurt [2025];30%;51%;31%;38%;42%;35%;43%;49%;53%;57%;50%;31%;18%;22%;22%;27%;26%;59%;47%;47%;29%;43%;37%;47%;52%;39%;41%;33%;28%;.;25%;29%;26%;.;
